Function: pretty_print; arguments: ({'Омлет': [{'ingredient_name': 'Яйцо', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Молоко', 'quantity': 100, 'measure': 'мл'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}], 'Утка по-пекински': [{'ingredient_name': 'Утка', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Вода', 'quantity': 2, 'measure': 'л'}, {'ingredient_name': 'Мед', 'quantity': 3, 'measure': 'ст.л'}, {'ingredient_name': 'Соевый соус', 'quantity': 60, 'measure': 'мл'}], 'Запеченный картофель': [{'ingredient_name': 'Картофель', 'quantity': 1, 'measure': 'кг'}, {'ingredient_name': 'Чеснок', 'quantity': 3, 'measure': 'зубч'}, {'ingredient_name': 'Сыр гауда', 'quantity': 100, 'measure': 'г'}], 'Фахитос': [{'ingredient_name': 'Говядина', 'quantity': 500, 'measure': 'г'}, {'ingredient_name': 'Перец сладкий', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Лаваш', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Винный уксус', 'quantity': 1, 'measure': 'ст.л'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}]},), {}; returns: None; (date: 24-12-2023, time: 17-06)

Function: pretty_print; arguments: ({'Яйцо': [{'measure': 'шт', 'quantity': 68}], 'Молоко': [{'measure': 'мл', 'quantity': 3400}], 'Помидор': [{'measure': 'шт', 'quantity': 68}, {'measure': 'шт', 'quantity': 68}], 'Говядина': [{'measure': 'г', 'quantity': 17000}], 'Перец сладкий': [{'measure': 'шт', 'quantity': 34}], 'Лаваш': [{'measure': 'шт', 'quantity': 68}], 'Винный уксус': [{'measure': 'ст.л', 'quantity': 34}]},), {}; returns: None; (date: 24-12-2023, time: 17-06)

Function: pretty_print; arguments: ({'Омлет': [{'ingredient_name': 'Яйцо', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Молоко', 'quantity': 100, 'measure': 'мл'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}], 'Утка по-пекински': [{'ingredient_name': 'Утка', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Вода', 'quantity': 2, 'measure': 'л'}, {'ingredient_name': 'Мед', 'quantity': 3, 'measure': 'ст.л'}, {'ingredient_name': 'Соевый соус', 'quantity': 60, 'measure': 'мл'}], 'Запеченный картофель': [{'ingredient_name': 'Картофель', 'quantity': 1, 'measure': 'кг'}, {'ingredient_name': 'Чеснок', 'quantity': 3, 'measure': 'зубч'}, {'ingredient_name': 'Сыр гауда', 'quantity': 100, 'measure': 'г'}], 'Фахитос': [{'ingredient_name': 'Говядина', 'quantity': 500, 'measure': 'г'}, {'ingredient_name': 'Перец сладкий', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Лаваш', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Винный уксус', 'quantity': 1, 'measure': 'ст.л'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}]},), {}; returns: None; (date: 24-12-2023, time: 17-07)

Function: dishes_dict; arguments: (), {}; returns: {'Омлет': [{'ingredient_name': 'Яйцо', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Молоко', 'quantity': 100, 'measure': 'мл'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}], 'Утка по-пекински': [{'ingredient_name': 'Утка', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Вода', 'quantity': 2, 'measure': 'л'}, {'ingredient_name': 'Мед', 'quantity': 3, 'measure': 'ст.л'}, {'ingredient_name': 'Соевый соус', 'quantity': 60, 'measure': 'мл'}], 'Запеченный картофель': [{'ingredient_name': 'Картофель', 'quantity': 1, 'measure': 'кг'}, {'ingredient_name': 'Чеснок', 'quantity': 3, 'measure': 'зубч'}, {'ingredient_name': 'Сыр гауда', 'quantity': 100, 'measure': 'г'}], 'Фахитос': [{'ingredient_name': 'Говядина', 'quantity': 500, 'measure': 'г'}, {'ingredient_name': 'Перец сладкий', 'quantity': 1, 'measure': 'шт'}, {'ingredient_name': 'Лаваш', 'quantity': 2, 'measure': 'шт'}, {'ingredient_name': 'Винный уксус', 'quantity': 1, 'measure': 'ст.л'}, {'ingredient_name': 'Помидор', 'quantity': 2, 'measure': 'шт'}]}; (date: 24-12-2023, time: 17-07)

Function: pretty_print; arguments: ({'Яйцо': [{'measure': 'шт', 'quantity': 68}], 'Молоко': [{'measure': 'мл', 'quantity': 3400}], 'Помидор': [{'measure': 'шт', 'quantity': 68}, {'measure': 'шт', 'quantity': 68}], 'Говядина': [{'measure': 'г', 'quantity': 17000}], 'Перец сладкий': [{'measure': 'шт', 'quantity': 34}], 'Лаваш': [{'measure': 'шт', 'quantity': 68}], 'Винный уксус': [{'measure': 'ст.л', 'quantity': 34}]},), {}; returns: None; (date: 24-12-2023, time: 17-07)

Function: get_shop_list_by_dishes; arguments: (['Омлет', 'Фахитос'], 34), {}; returns: {'Яйцо': [{'measure': 'шт', 'quantity': 68}], 'Молоко': [{'measure': 'мл', 'quantity': 3400}], 'Помидор': [{'measure': 'шт', 'quantity': 68}, {'measure': 'шт', 'quantity': 68}], 'Говядина': [{'measure': 'г', 'quantity': 17000}], 'Перец сладкий': [{'measure': 'шт', 'quantity': 34}], 'Лаваш': [{'measure': 'шт', 'quantity': 68}], 'Винный уксус': [{'measure': 'ст.л', 'quantity': 34}]}; (date: 24-12-2023, time: 17-07)
